request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_160,560.31,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-16,none,"For this travel, recommend installments; the validated 90-day forecast preserves the EUR 1200 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_161,0,not_affordable,not_recommended,none,,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the IDR 23010400 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_162,511975.21,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the IDR 24161100 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_163,0,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the IDR 26728700 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_164,0,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the IDR 29550500 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"For this travel, recommend full payment; the validated 90-day forecast preserves the INR 95000 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"For this other, recommend installments; the validated 90-day forecast preserves the USD 1700 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"For this housing, recommend full payment; the validated 90-day forecast preserves the ZAR 31200 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_168,0,not_affordable,not_recommended,none,,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the INR 114400 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"For this education, recommend full payment; the validated 90-day forecast preserves the ZAR 18700 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_170,28515416.9,not_affordable,not_recommended,none,2025-10-16,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the IDR 24715800 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_171,10.72,not_affordable,not_recommended,none,,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the EUR 500 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_172,8151.29,not_affordable,not_recommended,none,2024-07-16,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the ZAR 27200 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_173,52067.53,not_affordable,not_recommended,none,,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the INR 79100 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"For this investment, recommend installments; the validated 90-day forecast preserves the EUR 700 minimum while respecting your retirement investment priority and payment preferences."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"For this emergency expense, recommend full payment; the validated 90-day forecast preserves the EUR 1700 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_176,0,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the EUR 600 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_177,0,not_affordable,not_recommended,none,,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the USD 1300 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"For this investment, recommend installments; the validated 90-day forecast preserves the EUR 1400 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_179,4429171.98,not_affordable,not_recommended,none,2025-07-17,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the IDR 41430800 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"For this debt repayment, recommend full payment; the validated 90-day forecast preserves the INR 37300 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_181,69.47,not_affordable,not_recommended,none,,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the USD 2000 minimum while respecting your emergency savings priority and payment preferences."
request_182,895.49,not_affordable,not_recommended,none,,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the ZAR 31100 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_183,22485922.85,not_affordable,not_recommended,none,2026-06-16,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the IDR 11878300 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_184,0,not_affordable,not_recommended,none,,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the INR 110800 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_185,289.13,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the EUR 1300 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_186,0,not_affordable,not_recommended,none,,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the ZAR 22000 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_187,36573.65,not_affordable,not_recommended,none,2024-11-16,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the INR 128300 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_188,0,not_affordable,not_recommended,none,,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the EUR 900 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,"For this debt repayment, recommend full payment; the validated 90-day forecast preserves the EUR 400 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_190,0,not_affordable,not_recommended,none,,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the EUR 1600 minimum while respecting your emergency savings priority and payment preferences."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,"For this investment, recommend full payment; the validated 90-day forecast preserves the EUR 500 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_192,0,not_affordable,not_recommended,none,,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the USD 1000 minimum while respecting your retirement investment priority and payment preferences."
request_193,0,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the EUR 1000 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_194,32023.73,not_affordable,not_recommended,none,2025-10-24,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the INR 113600 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_195,14.3,not_affordable,not_recommended,none,,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the EUR 700 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,"For this purchase, recommend full payment; the validated 90-day forecast preserves the EUR 500 minimum while respecting your debt repayment priority and payment preferences."
request_197,0,not_affordable,not_recommended,none,,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the IDR 26245900 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"For this education, recommend full payment; the validated 90-day forecast preserves the INR 124300 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"For this housing, recommend installments; the validated 90-day forecast preserves the IDR 25359500 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_200,0,not_affordable,not_recommended,none,,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the IDR 20114600 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"For this debt repayment, recommend full payment; the validated 90-day forecast preserves the IDR 17304500 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"For this family transfer, recommend full payment; the validated 90-day forecast preserves the INR 147800 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"For this emergency expense, recommend installments; the validated 90-day forecast preserves the EUR 1400 minimum while respecting your education priority and payment preferences."
request_204,538.15,affordable_later,wait,2026-01-14:588.74,2026-01-14,none,"For this housing, recommend wait; the validated 90-day forecast preserves the EUR 1300 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"For this debt repayment, recommend full payment; the validated 90-day forecast preserves the IDR 13994300 minimum while respecting your emergency savings priority and payment preferences."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"For this family transfer, recommend installments; the validated 90-day forecast preserves the EUR 900 minimum while respecting your retirement investment priority and payment preferences."
request_207,4072.17,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"For this family transfer, recommend wait; the validated 90-day forecast preserves the ZAR 13600 minimum while respecting your healthcare priority and payment preferences."
request_208,2730258.3,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"For this travel, recommend wait; the validated 90-day forecast preserves the IDR 10470700 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_209,0,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the ZAR 18400 minimum while respecting your education priority and payment preferences."
request_210,956.19,affordable_with_plan,partial_payment,2026-04-06:956.19|2026-04-15:403.83,2026-04-15,none,"For this emergency expense, recommend partial payment; the validated 90-day forecast preserves the USD 2000 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_211,214.09,not_affordable,not_recommended,none,2024-11-16,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the EUR 1500 minimum while respecting your education priority and payment preferences."
request_212,1645841.25,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the IDR 29579800 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"For this family transfer, recommend installments; the validated 90-day forecast preserves the USD 2100 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_214,43496.8,affordable_with_plan,partial_payment,2024-12-04:43496.8|2024-12-16:26253.2,2024-12-16,none,"For this other, recommend partial payment; the validated 90-day forecast preserves the INR 174900 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"For this investment, recommend installments; the validated 90-day forecast preserves the ZAR 15700 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_216,338.52,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the USD 1800 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_217,0,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the ZAR 26800 minimum while respecting your emergency savings priority and payment preferences."
request_218,23896411.4,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"For this purchase, recommend installments; the validated 90-day forecast preserves the IDR 34477200 minimum while respecting your education priority and payment preferences."
request_219,787.95,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-14,none,"For this education, recommend installments; the validated 90-day forecast preserves the EUR 1100 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_220,36.8,not_affordable,not_recommended,none,,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the EUR 1100 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"For this housing, recommend full payment; the validated 90-day forecast preserves the INR 81500 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"For this education, recommend full payment; the validated 90-day forecast preserves the ZAR 27300 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,"For this purchase, recommend full payment; the validated 90-day forecast preserves the EUR 800 minimum while respecting your debt repayment priority and payment preferences."
request_224,7862495.93,not_affordable,not_recommended,none,2025-04-18,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the IDR 22187600 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_225,9163666.66,not_affordable,not_recommended,none,2026-09-16,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the IDR 17670700 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_226,0,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the INR 209400 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_227,0,not_affordable,not_recommended,none,,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the INR 62900 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_228,3469729.83,not_affordable,not_recommended,none,,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the IDR 26191200 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_229,354.36,not_affordable,not_recommended,none,2024-05-18,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the EUR 1000 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_230,0,not_affordable,not_recommended,none,,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the EUR 2000 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_231,29597.8,not_affordable,not_recommended,none,2026-03-18,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the ZAR 24300 minimum while respecting your emergency savings priority and payment preferences."
request_232,142.6,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the EUR 2400 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_233,0,not_affordable,not_recommended,none,,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the IDR 10365700 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_234,166.19,not_affordable,not_recommended,none,2026-09-16,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the EUR 700 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,"For this education, recommend full payment; the validated 90-day forecast preserves the USD 700 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_236,5195417.65,not_affordable,not_recommended,none,,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the IDR 16768600 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"For this other, recommend full payment; the validated 90-day forecast preserves the IDR 22431500 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_238,0,not_affordable,not_recommended,none,,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the USD 700 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,"For this investment, recommend full payment; the validated 90-day forecast preserves the USD 600 minimum while respecting your healthcare priority and payment preferences."
request_240,9869.06,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the INR 52800 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"For this family transfer, recommend installments; the validated 90-day forecast preserves the IDR 19252000 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_242,0,not_affordable,not_recommended,none,,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the EUR 600 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"For this emergency expense, recommend full payment; the validated 90-day forecast preserves the ZAR 19900 minimum while respecting your healthcare priority and payment preferences."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"For this family transfer, recommend full payment; the validated 90-day forecast preserves the ZAR 45900 minimum while respecting your education priority and payment preferences."
request_245,19657.83,not_affordable,not_recommended,none,,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the INR 94600 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"For this education, recommend installments; the validated 90-day forecast preserves the ZAR 39300 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"For this family transfer, recommend full payment; the validated 90-day forecast preserves the EUR 1300 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_248,0,not_affordable,not_recommended,none,,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the USD 1300 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_249,0,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the USD 600 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_250,14496.73,not_affordable,not_recommended,none,,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the ZAR 35300 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the EUR 1300 minimum while respecting your education priority and payment preferences."
request_252,3327025.91,not_affordable,not_recommended,none,2026-09-16,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the IDR 15152200 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_253,1313.71,not_affordable,not_recommended,none,,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the EUR 2300 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_254,0,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the USD 2500 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"For this family transfer, recommend full payment; the validated 90-day forecast preserves the IDR 9813900 minimum while respecting your retirement investment priority and payment preferences."
request_256,156700.76,not_affordable,not_recommended,none,2024-08-13,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the INR 168600 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_257,178.48,not_affordable,not_recommended,none,,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the USD 1600 minimum while respecting your emergency savings priority and payment preferences."
request_258,0,not_affordable,not_recommended,none,,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the USD 500 minimum while respecting your emergency savings priority and payment preferences."
request_259,199.61,not_affordable,not_recommended,none,2024-11-16,none,"For this other, recommend not recommended; the validated 90-day forecast preserves the EUR 600 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_260,5522152.31,not_affordable,not_recommended,none,,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the IDR 20727700 minimum while respecting your emergency savings priority and payment preferences."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"For this housing, recommend full payment; the validated 90-day forecast preserves the EUR 1500 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_262,0,not_affordable,not_recommended,none,,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the IDR 31018500 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_263,4907.48,not_affordable,not_recommended,none,,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the ZAR 24100 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_264,22053.1,not_affordable,not_recommended,none,2026-06-16,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the INR 59500 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"For this family transfer, recommend full payment; the validated 90-day forecast preserves the INR 189700 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_266,743.3,not_affordable,not_recommended,none,2025-10-16,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the EUR 900 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_267,1532.87,not_affordable,not_recommended,none,2026-03-18,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the EUR 1500 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_268,1017.2,not_affordable,not_recommended,none,2024-07-16,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the EUR 1400 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_269,0,not_affordable,not_recommended,none,,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the ZAR 23100 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_270,0,not_affordable,not_recommended,none,,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the USD 1400 minimum while respecting your healthcare priority and payment preferences."
request_271,0,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the INR 58200 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_272,0,not_affordable,not_recommended,none,,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the IDR 7508600 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_273,9192347.08,affordable_with_plan,partial_payment,2026-04-07:9192347.08|2026-04-15:6668652.92,2026-04-15,none,"For this education, recommend partial payment; the validated 90-day forecast preserves the IDR 18774600 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_274,2004.98,not_affordable,not_recommended,none,2025-02-16,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the EUR 1800 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"For this emergency expense, recommend full payment; the validated 90-day forecast preserves the IDR 12760100 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
